          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               3.054                   (0.9972, -0.07445)                   (1.937, 0.2683)
               3.055                   (0.9974, -0.07176)                   (1.937, 0.2703)
               3.056                   (0.9976, -0.06906)                   (1.938, 0.2723)
               3.057                   (0.9978, -0.06638)                   (1.938, 0.2743)
               3.058                   (0.998, -0.06369)                   (1.938, 0.2762)
               3.059                   (0.9981, -0.06102)                   (1.939, 0.2782)
                3.06                   (0.9983, -0.05835)                   (1.939, 0.2801)
               3.061                   (0.9984, -0.05569)                   (1.94, 0.282)
               3.062                   (0.9986, -0.05303)                   (1.94, 0.2839)
               3.063                   (0.9987, -0.05038)                   (1.941, 0.2858)
               3.064                   (0.9989, -0.04773)                   (1.941, 0.2877)
               3.065                   (0.999, -0.04509)                   (1.941, 0.2896)
               3.066                   (0.9991, -0.04246)                   (1.942, 0.2915)
               3.067                   (0.9992, -0.03983)                   (1.942, 0.2933)
               3.068                   (0.9993, -0.03721)                   (1.942, 0.2951)
               3.069                   (0.9994, -0.0346)                   (1.943, 0.297)
                3.07                   (0.9995, -0.03199)                   (1.943, 0.2988)
               3.071                   (0.9996, -0.02939)                   (1.944, 0.3006)
               3.072                   (0.9996, -0.0268)                   (1.944, 0.3024)
               3.073                   (0.9997, -0.02421)                   (1.944, 0.3042)
               3.074                   (0.9998, -0.02163)                   (1.945, 0.3059)
               3.075                   (0.9998, -0.01906)                   (1.945, 0.3077)
               3.076                   (0.9999, -0.01649)                   (1.945, 0.3094)
               3.077                   (0.9999, -0.01393)                   (1.946, 0.3111)
               3.078                   (0.9999, -0.01138)                   (1.946, 0.3129)
               3.079                   (1, -0.008837)                   (1.946, 0.3146)
                3.08                   (1, -0.006298)                   (1.947, 0.3163)
               3.081                   (1, -0.003767)                   (1.947, 0.318)
               3.082                   (1, -0.001242)                   (1.947, 0.3196)
               3.083                   (1, 0.001275)                   (1.947, 0.3213)
               3.084                   (1, 0.003784)                   (1.948, 0.3229)
               3.085                   (1, 0.006287)                   (1.948, 0.3246)
               3.086                   (1, 0.008782)                   (1.948, 0.3262)
               3.087                   (0.9999, 0.01127)                   (1.949, 0.3278)
               3.088                   (0.9999, 0.01375)                   (1.949, 0.3294)
               3.089                   (0.9999, 0.01622)                   (1.949, 0.331)
                3.09                   (0.9998, 0.01869)                   (1.949, 0.3326)
               3.091                   (0.9998, 0.02114)                   (1.95, 0.3341)
               3.092                   (0.9997, 0.02359)                   (1.95, 0.3357)
               3.093                   (0.9997, 0.02604)                   (1.95, 0.3372)
               3.094                   (0.9996, 0.02847)                   (1.95, 0.3388)
               3.095                   (0.9995, 0.0309)                   (1.95, 0.3403)
               3.096                   (0.9994, 0.03332)                   (1.951, 0.3418)
               3.097                   (0.9994, 0.03573)                   (1.951, 0.3433)
               3.098                   (0.9993, 0.03813)                   (1.951, 0.3448)
               3.099                   (0.9992, 0.04052)                   (1.951, 0.3463)
                 3.1                   (0.9991, 0.04291)                   (1.951, 0.3477)
               3.101                   (0.999, 0.04529)                   (1.952, 0.3492)
               3.102                   (0.9989, 0.04766)                   (1.952, 0.3506)
               3.103                   (0.9987, 0.05002)                   (1.952, 0.352)
               3.104                   (0.9986, 0.05238)                   (1.952, 0.3534)
               3.105                   (0.9985, 0.05472)                   (1.952, 0.3549)
               3.106                   (0.9984, 0.05706)                   (1.953, 0.3562)
               3.107                   (0.9982, 0.05939)                   (1.953, 0.3576)
               3.108                   (0.9981, 0.06171)                   (1.953, 0.359)
               3.109                   (0.9979, 0.06402)                   (1.953, 0.3604)
                3.11                   (0.9978, 0.06632)                   (1.953, 0.3617)
               3.111                   (0.9976, 0.06862)                   (1.953, 0.363)
               3.112                   (0.9975, 0.07091)                   (1.953, 0.3644)
               3.113                   (0.9973, 0.07318)                   (1.954, 0.3657)
               3.114                   (0.9971, 0.07545)                   (1.954, 0.367)
               3.115                   (0.997, 0.07771)                   (1.954, 0.3683)
               3.116                   (0.9968, 0.07997)                   (1.954, 0.3696)
               3.117                   (0.9966, 0.08221)                   (1.954, 0.3708)
               3.118                   (0.9964, 0.08444)                   (1.954, 0.3721)
               3.119                   (0.9962, 0.08667)                   (1.954, 0.3733)
                3.12                   (0.996, 0.08889)                   (1.954, 0.3746)
               3.121                   (0.9958, 0.09109)                   (1.954, 0.3758)
               3.122                   (0.9956, 0.09329)                   (1.955, 0.377)
               3.123                   (0.9954, 0.09548)                   (1.955, 0.3782)
               3.124                   (0.9952, 0.09766)                   (1.955, 0.3794)
               3.125                   (0.995, 0.09983)                   (1.955, 0.3806)
               3.126                   (0.9948, 0.102)                   (1.955, 0.3817)
               3.127                   (0.9946, 0.1042)                   (1.955, 0.3829)
               3.128                   (0.9943, 0.1063)                   (1.955, 0.384)
               3.129                   (0.9941, 0.1084)                   (1.955, 0.3852)
                3.13                   (0.9939, 0.1106)                   (1.955, 0.3863)
               3.131                   (0.9936, 0.1127)                   (1.955, 0.3874)
               3.132                   (0.9934, 0.1148)                   (1.955, 0.3885)
               3.133                   (0.9931, 0.1169)                   (1.955, 0.3896)
               3.134                   (0.9929, 0.119)                   (1.955, 0.3907)
               3.135                   (0.9926, 0.121)                   (1.955, 0.3918)
               3.136                   (0.9924, 0.1231)                   (1.955, 0.3928)
               3.137                   (0.9921, 0.1252)                   (1.955, 0.3939)
               3.138                   (0.9919, 0.1272)                   (1.955, 0.3949)
               3.139                   (0.9916, 0.1293)                   (1.955, 0.3959)
                3.14                   (0.9913, 0.1313)                   (1.955, 0.3969)
               3.141                   (0.9911, 0.1333)                   (1.955, 0.3979)
               3.142                   (0.9908, 0.1353)                   (1.955, 0.3989)
               3.143                   (0.9905, 0.1373)                   (1.955, 0.3999)
               3.144                   (0.9902, 0.1393)                   (1.955, 0.4009)
               3.145                   (0.99, 0.1413)                   (1.955, 0.4019)
               3.146                   (0.9897, 0.1433)                   (1.955, 0.4028)
               3.147                   (0.9894, 0.1453)                   (1.955, 0.4037)
               3.148                   (0.9891, 0.1472)                   (1.955, 0.4047)
               3.149                   (0.9888, 0.1492)                   (1.955, 0.4056)
                3.15                   (0.9885, 0.1511)                   (1.955, 0.4065)
               3.151                   (0.9882, 0.153)                   (1.955, 0.4074)
               3.152                   (0.9879, 0.155)                   (1.955, 0.4083)
               3.153                   (0.9876, 0.1569)                   (1.955, 0.4092)
               3.154                   (0.9873, 0.1588)                   (1.955, 0.41)
               3.155                   (0.987, 0.1606)                   (1.955, 0.4109)
               3.156                   (0.9867, 0.1625)                   (1.955, 0.4117)
               3.157                   (0.9864, 0.1644)                   (1.955, 0.4126)
               3.158                   (0.9861, 0.1663)                   (1.955, 0.4134)
               3.159                   (0.9858, 0.1681)                   (1.955, 0.4142)
                3.16                   (0.9855, 0.1699)                   (1.955, 0.415)
               3.161                   (0.9851, 0.1718)                   (1.955, 0.4158)
               3.162                   (0.9848, 0.1736)                   (1.955, 0.4166)
               3.163                   (0.9845, 0.1754)                   (1.955, 0.4173)
               3.164                   (0.9842, 0.1772)                   (1.955, 0.4181)
               3.165                   (0.9839, 0.179)                   (1.955, 0.4188)
               3.166                   (0.9835, 0.1808)                   (1.955, 0.4196)
               3.167                   (0.9832, 0.1825)                   (1.955, 0.4203)
               3.168                   (0.9829, 0.1843)                   (1.954, 0.421)
               3.169                   (0.9825, 0.186)                   (1.954, 0.4217)
                3.17                   (0.9822, 0.1878)                   (1.954, 0.4224)
               3.171                   (0.9819, 0.1895)                   (1.954, 0.4231)
               3.172                   (0.9815, 0.1912)                   (1.954, 0.4238)
               3.173                   (0.9812, 0.193)                   (1.954, 0.4245)
               3.174                   (0.9809, 0.1947)                   (1.954, 0.4251)
               3.175                   (0.9805, 0.1963)                   (1.954, 0.4258)
               3.176                   (0.9802, 0.198)                   (1.954, 0.4264)
               3.177                   (0.9799, 0.1997)                   (1.954, 0.427)
               3.178                   (0.9795, 0.2014)                   (1.954, 0.4276)
               3.179                   (0.9792, 0.203)                   (1.953, 0.4282)
                3.18                   (0.9788, 0.2047)                   (1.953, 0.4288)
               3.181                   (0.9785, 0.2063)                   (1.953, 0.4294)
               3.182                   (0.9781, 0.2079)                   (1.953, 0.43)
               3.183                   (0.9778, 0.2095)                   (1.953, 0.4305)
               3.184                   (0.9775, 0.2111)                   (1.953, 0.4311)
               3.185                   (0.9771, 0.2127)                   (1.953, 0.4316)
               3.186                   (0.9768, 0.2143)                   (1.953, 0.4322)
               3.187                   (0.9764, 0.2159)                   (1.953, 0.4327)
               3.188                   (0.9761, 0.2174)                   (1.953, 0.4332)
               3.189                   (0.9757, 0.219)                   (1.952, 0.4337)
                3.19                   (0.9754, 0.2205)                   (1.952, 0.4342)
               3.191                   (0.975, 0.2221)                   (1.952, 0.4347)
               3.192                   (0.9747, 0.2236)                   (1.952, 0.4351)
               3.193                   (0.9743, 0.2251)                   (1.952, 0.4356)
               3.194                   (0.974, 0.2266)                   (1.952, 0.4361)
               3.195                   (0.9736, 0.2281)                   (1.952, 0.4365)
               3.196                   (0.9733, 0.2296)                   (1.952, 0.4369)
               3.197                   (0.9729, 0.231)                   (1.951, 0.4373)
               3.198                   (0.9726, 0.2325)                   (1.951, 0.4378)
               3.199                   (0.9722, 0.234)                   (1.951, 0.4382)
                 3.2                   (0.9719, 0.2354)                   (1.951, 0.4386)
               3.201                   (0.9715, 0.2368)                   (1.951, 0.4389)
               3.202                   (0.9712, 0.2383)                   (1.951, 0.4393)
               3.203                   (0.9709, 0.2397)                   (1.951, 0.4397)
               3.204                   (0.9705, 0.2411)                   (1.951, 0.44)
               3.205                   (0.9702, 0.2425)                   (1.95, 0.4404)
               3.206                   (0.9698, 0.2439)                   (1.95, 0.4407)
               3.207                   (0.9695, 0.2452)                   (1.95, 0.441)
               3.208                   (0.9691, 0.2466)                   (1.95, 0.4413)
               3.209                   (0.9688, 0.248)                   (1.95, 0.4416)
                3.21                   (0.9684, 0.2493)                   (1.95, 0.4419)
               3.211                   (0.9681, 0.2506)                   (1.95, 0.4422)
               3.212                   (0.9677, 0.252)                   (1.949, 0.4425)
               3.213                   (0.9674, 0.2533)                   (1.949, 0.4427)
               3.214                   (0.967, 0.2546)                   (1.949, 0.443)
               3.215                   (0.9667, 0.2559)                   (1.949, 0.4432)
               3.216                   (0.9664, 0.2572)                   (1.949, 0.4434)
               3.217                   (0.966, 0.2585)                   (1.949, 0.4437)
               3.218                   (0.9657, 0.2597)                   (1.949, 0.4439)
               3.219                   (0.9653, 0.261)                   (1.948, 0.4441)
                3.22                   (0.965, 0.2622)                   (1.948, 0.4443)
               3.221                   (0.9647, 0.2635)                   (1.948, 0.4445)
               3.222                   (0.9643, 0.2647)                   (1.948, 0.4446)
               3.223                   (0.964, 0.2659)                   (1.948, 0.4448)
               3.224                   (0.9637, 0.2671)                   (1.948, 0.4449)
               3.225                   (0.9633, 0.2683)                   (1.948, 0.4451)
               3.226                   (0.963, 0.2695)                   (1.947, 0.4452)
               3.227                   (0.9627, 0.2707)                   (1.947, 0.4453)
               3.228                   (0.9623, 0.2719)                   (1.947, 0.4455)
               3.229                   (0.962, 0.273)                   (1.947, 0.4456)
                3.23                   (0.9617, 0.2742)                   (1.947, 0.4457)
               3.231                   (0.9613, 0.2753)                   (1.947, 0.4457)
               3.232                   (0.961, 0.2765)                   (1.947, 0.4458)
               3.233                   (0.9607, 0.2776)                   (1.946, 0.4459)
               3.234                   (0.9604, 0.2787)                   (1.946, 0.4459)
               3.235                   (0.9601, 0.2798)                   (1.946, 0.446)
               3.236                   (0.9597, 0.2809)                   (1.946, 0.446)
               3.237                   (0.9594, 0.282)                   (1.946, 0.446)
               3.238                   (0.9591, 0.2831)                   (1.946, 0.446)
               3.239                   (0.9588, 0.2842)                   (1.946, 0.4461)
                3.24                   (0.9585, 0.2852)                   (1.945, 0.4461)
               3.241                   (0.9582, 0.2863)                   (1.945, 0.446)
               3.242                   (0.9578, 0.2873)                   (1.945, 0.446)
               3.243                   (0.9575, 0.2883)                   (1.945, 0.446)
               3.244                   (0.9572, 0.2894)                   (1.945, 0.4459)
               3.245                   (0.9569, 0.2904)                   (1.945, 0.4459)
               3.246                   (0.9566, 0.2914)                   (1.945, 0.4458)
               3.247                   (0.9563, 0.2924)                   (1.944, 0.4458)
               3.248                   (0.956, 0.2934)                   (1.944, 0.4457)
               3.249                   (0.9557, 0.2943)                   (1.944, 0.4456)
                3.25                   (0.9554, 0.2953)                   (1.944, 0.4455)
               3.251                   (0.9551, 0.2963)                   (1.944, 0.4454)
               3.252                   (0.9548, 0.2972)                   (1.944, 0.4452)
               3.253                   (0.9545, 0.2982)                   (1.944, 0.4451)
               3.254                   (0.9542, 0.2991)                   (1.944, 0.445)
               3.255                   (0.9539, 0.3)                   (1.943, 0.4448)
               3.256                   (0.9536, 0.3009)                   (1.943, 0.4447)
               3.257                   (0.9534, 0.3018)                   (1.943, 0.4445)
               3.258                   (0.9531, 0.3027)                   (1.943, 0.4443)
               3.259                   (0.9528, 0.3036)                   (1.943, 0.4441)
                3.26                   (0.9525, 0.3045)                   (1.943, 0.4439)
               3.261                   (0.9522, 0.3054)                   (1.943, 0.4437)
               3.262                   (0.952, 0.3062)                   (1.942, 0.4435)
               3.263                   (0.9517, 0.3071)                   (1.942, 0.4433)
               3.264                   (0.9514, 0.3079)                   (1.942, 0.443)
               3.265                   (0.9511, 0.3087)                   (1.942, 0.4428)
               3.266                   (0.9509, 0.3096)                   (1.942, 0.4425)
               3.267                   (0.9506, 0.3104)                   (1.942, 0.4423)
               3.268                   (0.9503, 0.3112)                   (1.942, 0.442)
               3.269                   (0.9501, 0.312)                   (1.942, 0.4417)
                3.27                   (0.9498, 0.3128)                   (1.942, 0.4414)
               3.271                   (0.9496, 0.3135)                   (1.941, 0.4411)
               3.272                   (0.9493, 0.3143)                   (1.941, 0.4408)
               3.273                   (0.9491, 0.3151)                   (1.941, 0.4405)
               3.274                   (0.9488, 0.3158)                   (1.941, 0.4401)
               3.275                   (0.9486, 0.3166)                   (1.941, 0.4398)
               3.276                   (0.9483, 0.3173)                   (1.941, 0.4394)
               3.277                   (0.9481, 0.318)                   (1.941, 0.4391)
               3.278                   (0.9478, 0.3188)                   (1.941, 0.4387)
               3.279                   (0.9476, 0.3195)                   (1.941, 0.4383)
                3.28                   (0.9474, 0.3202)                   (1.94, 0.4379)
               3.281                   (0.9471, 0.3209)                   (1.94, 0.4375)
               3.282                   (0.9469, 0.3215)                   (1.94, 0.4371)
               3.283                   (0.9467, 0.3222)                   (1.94, 0.4367)
               3.284                   (0.9464, 0.3229)                   (1.94, 0.4363)
               3.285                   (0.9462, 0.3235)                   (1.94, 0.4358)
               3.286                   (0.946, 0.3242)                   (1.94, 0.4354)
               3.287                   (0.9458, 0.3248)                   (1.94, 0.4349)
               3.288                   (0.9456, 0.3255)                   (1.94, 0.4345)
               3.289                   (0.9453, 0.3261)                   (1.94, 0.434)
                3.29                   (0.9451, 0.3267)                   (1.939, 0.4335)
               3.291                   (0.9449, 0.3273)                   (1.939, 0.433)
               3.292                   (0.9447, 0.3279)                   (1.939, 0.4325)
               3.293                   (0.9445, 0.3285)                   (1.939, 0.432)
               3.294                   (0.9443, 0.3291)                   (1.939, 0.4314)
               3.295                   (0.9441, 0.3297)                   (1.939, 0.4309)
               3.296                   (0.9439, 0.3302)                   (1.939, 0.4304)
               3.297                   (0.9437, 0.3308)                   (1.939, 0.4298)
               3.298                   (0.9435, 0.3313)                   (1.939, 0.4292)
               3.299                   (0.9433, 0.3319)                   (1.939, 0.4287)
                 3.3                   (0.9431, 0.3324)                   (1.939, 0.4281)
               3.301                   (0.943, 0.3329)                   (1.938, 0.4275)
               3.302                   (0.9428, 0.3334)                   (1.938, 0.4269)
               3.303                   (0.9426, 0.3339)                   (1.938, 0.4263)
               3.304                   (0.9424, 0.3344)                   (1.938, 0.4256)
               3.305                   (0.9422, 0.3349)                   (1.938, 0.425)
               3.306                   (0.9421, 0.3354)                   (1.938, 0.4244)
               3.307                   (0.9419, 0.3359)                   (1.938, 0.4237)
               3.308                   (0.9417, 0.3363)                   (1.938, 0.423)
               3.309                   (0.9416, 0.3368)                   (1.938, 0.4224)
                3.31                   (0.9414, 0.3372)                   (1.938, 0.4217)
               3.311                   (0.9413, 0.3377)                   (1.938, 0.421)
               3.312                   (0.9411, 0.3381)                   (1.938, 0.4203)
               3.313                   (0.941, 0.3385)                   (1.938, 0.4196)
               3.314                   (0.9408, 0.339)                   (1.938, 0.4189)
               3.315                   (0.9407, 0.3394)                   (1.938, 0.4181)
               3.316                   (0.9405, 0.3398)                   (1.937, 0.4174)
               3.317                   (0.9404, 0.3401)                   (1.937, 0.4166)
               3.318                   (0.9402, 0.3405)                   (1.937, 0.4159)
               3.319                   (0.9401, 0.3409)                   (1.937, 0.4151)
                3.32                   (0.94, 0.3413)                   (1.937, 0.4143)
               3.321                   (0.9398, 0.3416)                   (1.937, 0.4136)
               3.322                   (0.9397, 0.342)                   (1.937, 0.4128)
               3.323                   (0.9396, 0.3423)                   (1.937, 0.4119)
               3.324                   (0.9395, 0.3426)                   (1.937, 0.4111)
               3.325                   (0.9393, 0.343)                   (1.937, 0.4103)
               3.326                   (0.9392, 0.3433)                   (1.937, 0.4095)
               3.327                   (0.9391, 0.3436)                   (1.937, 0.4086)
               3.328                   (0.939, 0.3439)                   (1.937, 0.4078)
               3.329                   (0.9389, 0.3442)                   (1.937, 0.4069)
                3.33                   (0.9388, 0.3445)                   (1.937, 0.406)
               3.331                   (0.9387, 0.3447)                   (1.937, 0.4051)
               3.332                   (0.9386, 0.345)                   (1.937, 0.4042)
               3.333                   (0.9385, 0.3453)                   (1.937, 0.4033)
               3.334                   (0.9384, 0.3455)                   (1.937, 0.4024)
               3.335                   (0.9383, 0.3458)                   (1.937, 0.4015)
               3.336                   (0.9382, 0.346)                   (1.937, 0.4006)
               3.337                   (0.9381, 0.3462)                   (1.937, 0.3996)
               3.338                   (0.9381, 0.3465)                   (1.937, 0.3987)
               3.339                   (0.938, 0.3467)                   (1.937, 0.3977)
                3.34                   (0.9379, 0.3469)                   (1.937, 0.3967)
               3.341                   (0.9378, 0.3471)                   (1.937, 0.3957)
               3.342                   (0.9378, 0.3473)                   (1.937, 0.3948)
               3.343                   (0.9377, 0.3474)                   (1.937, 0.3938)
               3.344                   (0.9376, 0.3476)                   (1.937, 0.3927)
               3.345                   (0.9376, 0.3478)                   (1.937, 0.3917)
               3.346                   (0.9375, 0.3479)                   (1.937, 0.3907)
               3.347                   (0.9375, 0.3481)                   (1.937, 0.3897)
               3.348                   (0.9374, 0.3482)                   (1.937, 0.3886)
               3.349                   (0.9374, 0.3483)                   (1.937, 0.3875)
                3.35                   (0.9373, 0.3485)                   (1.937, 0.3865)
               3.351                   (0.9373, 0.3486)                   (1.937, 0.3854)
               3.352                   (0.9372, 0.3487)                   (1.937, 0.3843)
               3.353                   (0.9372, 0.3488)                   (1.937, 0.3832)
               3.354                   (0.9372, 0.3489)                   (1.937, 0.3821)
               3.355                   (0.9371, 0.349)                   (1.937, 0.381)
               3.356                   (0.9371, 0.349)                   (1.937, 0.3798)
               3.357                   (0.9371, 0.3491)                   (1.937, 0.3787)
               3.358                   (0.9371, 0.3492)                   (1.937, 0.3776)
               3.359                   (0.937, 0.3492)                   (1.937, 0.3764)
                3.36                   (0.937, 0.3493)                   (1.937, 0.3752)
               3.361                   (0.937, 0.3493)                   (1.937, 0.3741)
               3.362                   (0.937, 0.3493)                   (1.937, 0.3729)
               3.363                   (0.937, 0.3493)                   (1.937, 0.3717)
               3.364                   (0.937, 0.3493)                   (1.937, 0.3705)
               3.365                   (0.937, 0.3493)                   (1.937, 0.3692)
               3.366                   (0.937, 0.3493)                   (1.937, 0.368)
               3.367                   (0.937, 0.3493)                   (1.937, 0.3668)
               3.368                   (0.937, 0.3493)                   (1.937, 0.3655)
               3.369                   (0.937, 0.3493)                   (1.937, 0.3643)
                3.37                   (0.937, 0.3492)                   (1.937, 0.363)
               3.371                   (0.937, 0.3492)                   (1.937, 0.3617)
               3.372                   (0.9371, 0.3491)                   (1.937, 0.3605)
               3.373                   (0.9371, 0.3491)                   (1.937, 0.3592)
               3.374                   (0.9371, 0.349)                   (1.937, 0.3579)
               3.375                   (0.9371, 0.3489)                   (1.937, 0.3565)
               3.376                   (0.9372, 0.3489)                   (1.937, 0.3552)
               3.377                   (0.9372, 0.3488)                   (1.937, 0.3539)
               3.378                   (0.9372, 0.3487)                   (1.937, 0.3525)
               3.379                   (0.9373, 0.3486)                   (1.937, 0.3512)
                3.38                   (0.9373, 0.3484)                   (1.937, 0.3498)
               3.381                   (0.9374, 0.3483)                   (1.937, 0.3485)
               3.382                   (0.9374, 0.3482)                   (1.937, 0.3471)
               3.383                   (0.9375, 0.348)                   (1.937, 0.3457)
               3.384                   (0.9375, 0.3479)                   (1.938, 0.3443)
               3.385                   (0.9376, 0.3477)                   (1.938, 0.3429)
               3.386                   (0.9377, 0.3476)                   (1.938, 0.3414)
               3.387                   (0.9377, 0.3474)                   (1.938, 0.34)
               3.388                   (0.9378, 0.3472)                   (1.938, 0.3386)
               3.389                   (0.9379, 0.347)                   (1.938, 0.3371)
                3.39                   (0.9379, 0.3468)                   (1.938, 0.3357)
               3.391                   (0.938, 0.3466)                   (1.938, 0.3342)
               3.392                   (0.9381, 0.3464)                   (1.938, 0.3327)
               3.393                   (0.9382, 0.3462)                   (1.938, 0.3312)
               3.394                   (0.9382, 0.346)                   (1.938, 0.3297)
               3.395                   (0.9383, 0.3457)                   (1.938, 0.3282)
               3.396                   (0.9384, 0.3455)                   (1.938, 0.3267)
               3.397                   (0.9385, 0.3452)                   (1.938, 0.3251)
               3.398                   (0.9386, 0.345)                   (1.938, 0.3236)
               3.399                   (0.9387, 0.3447)                   (1.938, 0.3221)
                 3.4                   (0.9388, 0.3444)                   (1.939, 0.3205)
               3.401                   (0.9389, 0.3441)                   (1.939, 0.3189)
               3.402                   (0.939, 0.3438)                   (1.939, 0.3173)
               3.403                   (0.9391, 0.3435)                   (1.939, 0.3158)
               3.404                   (0.9393, 0.3432)                   (1.939, 0.3142)
               3.405                   (0.9394, 0.3429)                   (1.939, 0.3125)
               3.406                   (0.9395, 0.3426)                   (1.939, 0.3109)
               3.407                   (0.9396, 0.3422)                   (1.939, 0.3093)
               3.408                   (0.9397, 0.3419)                   (1.939, 0.3077)
               3.409                   (0.9399, 0.3415)                   (1.939, 0.306)
                3.41                   (0.94, 0.3412)                   (1.939, 0.3044)
               3.411                   (0.9401, 0.3408)                   (1.939, 0.3027)
               3.412                   (0.9403, 0.3404)                   (1.939, 0.301)
               3.413                   (0.9404, 0.3401)                   (1.94, 0.2993)
               3.414                   (0.9405, 0.3397)                   (1.94, 0.2976)
               3.415                   (0.9407, 0.3393)                   (1.94, 0.2959)
               3.416                   (0.9408, 0.3389)                   (1.94, 0.2942)
               3.417                   (0.941, 0.3384)                   (1.94, 0.2925)
               3.418                   (0.9411, 0.338)                   (1.94, 0.2907)
               3.419                   (0.9413, 0.3376)                   (1.94, 0.289)
                3.42                   (0.9415, 0.3371)                   (1.94, 0.2872)
               3.421                   (0.9416, 0.3367)                   (1.94, 0.2855)
               3.422                   (0.9418, 0.3362)                   (1.94, 0.2837)
               3.423                   (0.9419, 0.3358)                   (1.94, 0.2819)
               3.424                   (0.9421, 0.3353)                   (1.941, 0.2801)
               3.425                   (0.9423, 0.3348)                   (1.941, 0.2783)
               3.426                   (0.9425, 0.3343)                   (1.941, 0.2765)
               3.427                   (0.9426, 0.3338)                   (1.941, 0.2747)
               3.428                   (0.9428, 0.3333)                   (1.941, 0.2728)
               3.429                   (0.943, 0.3328)                   (1.941, 0.271)
                3.43                   (0.9432, 0.3323)                   (1.941, 0.2691)
               3.431                   (0.9434, 0.3317)                   (1.941, 0.2673)
               3.432                   (0.9436, 0.3312)                   (1.941, 0.2654)
               3.433                   (0.9438, 0.3306)                   (1.942, 0.2635)
               3.434                   (0.944, 0.3301)                   (1.942, 0.2616)
               3.435                   (0.9442, 0.3295)                   (1.942, 0.2597)
               3.436                   (0.9444, 0.3289)                   (1.942, 0.2578)
               3.437                   (0.9446, 0.3283)                   (1.942, 0.2559)
               3.438                   (0.9448, 0.3277)                   (1.942, 0.2539)
               3.439                   (0.945, 0.3271)                   (1.942, 0.252)
                3.44                   (0.9452, 0.3265)                   (1.942, 0.25)
               3.441                   (0.9454, 0.3259)                   (1.942, 0.2481)
               3.442                   (0.9456, 0.3253)                   (1.942, 0.2461)
               3.443                   (0.9458, 0.3246)                   (1.943, 0.2441)
               3.444                   (0.9461, 0.324)                   (1.943, 0.2421)
               3.445                   (0.9463, 0.3233)                   (1.943, 0.2401)
               3.446                   (0.9465, 0.3227)                   (1.943, 0.2381)
               3.447                   (0.9467, 0.322)                   (1.943, 0.2361)
               3.448                   (0.947, 0.3213)                   (1.943, 0.234)
               3.449                   (0.9472, 0.3206)                   (1.943, 0.232)
                3.45                   (0.9474, 0.3199)                   (1.943, 0.2299)
               3.451                   (0.9477, 0.3192)                   (1.943, 0.2279)
               3.452                   (0.9479, 0.3185)                   (1.944, 0.2258)
               3.453                   (0.9482, 0.3178)                   (1.944, 0.2237)
               3.454                   (0.9484, 0.3171)                   (1.944, 0.2216)
               3.455                   (0.9487, 0.3163)                   (1.944, 0.2195)
               3.456                   (0.9489, 0.3156)                   (1.944, 0.2174)
               3.457                   (0.9492, 0.3148)                   (1.944, 0.2153)
               3.458                   (0.9494, 0.314)                   (1.944, 0.2132)
               3.459                   (0.9497, 0.3133)                   (1.944, 0.211)
                3.46                   (0.9499, 0.3125)                   (1.945, 0.2089)
               3.461                   (0.9502, 0.3117)                   (1.945, 0.2067)
               3.462                   (0.9504, 0.3109)                   (1.945, 0.2045)
               3.463                   (0.9507, 0.3101)                   (1.945, 0.2024)
               3.464                   (0.951, 0.3092)                   (1.945, 0.2002)
               3.465                   (0.9513, 0.3084)                   (1.945, 0.198)
               3.466                   (0.9515, 0.3076)                   (1.945, 0.1958)
               3.467                   (0.9518, 0.3067)                   (1.945, 0.1935)
               3.468                   (0.9521, 0.3059)                   (1.945, 0.1913)
               3.469                   (0.9524, 0.305)                   (1.946, 0.1891)
                3.47                   (0.9526, 0.3041)                   (1.946, 0.1868)
               3.471                   (0.9529, 0.3032)                   (1.946, 0.1846)
               3.472                   (0.9532, 0.3023)                   (1.946, 0.1823)
               3.473                   (0.9535, 0.3014)                   (1.946, 0.18)
               3.474                   (0.9538, 0.3005)                   (1.946, 0.1777)
               3.475                   (0.9541, 0.2996)                   (1.946, 0.1754)
               3.476                   (0.9544, 0.2987)                   (1.946, 0.1731)
               3.477                   (0.9547, 0.2977)                   (1.947, 0.1708)
               3.478                   (0.9549, 0.2968)                   (1.947, 0.1685)
               3.479                   (0.9552, 0.2958)                   (1.947, 0.1661)
                3.48                   (0.9555, 0.2948)                   (1.947, 0.1638)
               3.481                   (0.9558, 0.2939)                   (1.947, 0.1614)
               3.482                   (0.9561, 0.2929)                   (1.947, 0.1591)
               3.483                   (0.9565, 0.2919)                   (1.947, 0.1567)
               3.484                   (0.9568, 0.2909)                   (1.947, 0.1543)
               3.485                   (0.9571, 0.2899)                   (1.948, 0.1519)
               3.486                   (0.9574, 0.2888)                   (1.948, 0.1495)
               3.487                   (0.9577, 0.2878)                   (1.948, 0.1471)
               3.488                   (0.958, 0.2868)                   (1.948, 0.1447)
               3.489                   (0.9583, 0.2857)                   (1.948, 0.1422)
                3.49                   (0.9586, 0.2846)                   (1.948, 0.1398)
               3.491                   (0.959, 0.2836)                   (1.948, 0.1373)
               3.492                   (0.9593, 0.2825)                   (1.948, 0.1349)
               3.493                   (0.9596, 0.2814)                   (1.948, 0.1324)
               3.494                   (0.9599, 0.2803)                   (1.949, 0.1299)
