          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               0.102                   (0.9987, -0.0503)                   (1.707, 0.6558)
               0.103                   (0.9987, -0.05128)                   (1.707, 0.6548)
               0.104                   (0.9986, -0.05228)                   (1.707, 0.6537)
               0.105                   (0.9986, -0.05328)                   (1.707, 0.6527)
               0.106                   (0.9985, -0.05429)                   (1.707, 0.6516)
               0.107                   (0.9985, -0.05531)                   (1.707, 0.6506)
               0.108                   (0.9984, -0.05634)                   (1.707, 0.6495)
               0.109                   (0.9984, -0.05738)                   (1.707, 0.6484)
                0.11                   (0.9983, -0.05843)                   (1.707, 0.6473)
               0.111                   (0.9982, -0.05949)                   (1.707, 0.6462)
               0.112                   (0.9982, -0.06055)                   (1.707, 0.6451)
               0.113                   (0.9981, -0.06163)                   (1.707, 0.644)
               0.114                   (0.998, -0.06271)                   (1.707, 0.6429)
               0.115                   (0.998, -0.06381)                   (1.707, 0.6417)
               0.116                   (0.9979, -0.06491)                   (1.707, 0.6406)
               0.117                   (0.9978, -0.06602)                   (1.707, 0.6394)
               0.118                   (0.9977, -0.06714)                   (1.707, 0.6382)
               0.119                   (0.9977, -0.06827)                   (1.707, 0.637)
                0.12                   (0.9976, -0.06941)                   (1.707, 0.6358)
               0.121                   (0.9975, -0.07055)                   (1.707, 0.6346)
               0.122                   (0.9974, -0.07171)                   (1.707, 0.6334)
               0.123                   (0.9973, -0.07287)                   (1.706, 0.6322)
               0.124                   (0.9973, -0.07405)                   (1.706, 0.631)
               0.125                   (0.9972, -0.07523)                   (1.706, 0.6297)
               0.126                   (0.9971, -0.07642)                   (1.706, 0.6285)
               0.127                   (0.997, -0.07762)                   (1.706, 0.6272)
               0.128                   (0.9969, -0.07883)                   (1.706, 0.6259)
               0.129                   (0.9968, -0.08005)                   (1.706, 0.6246)
                0.13                   (0.9967, -0.08128)                   (1.706, 0.6233)
               0.131                   (0.9966, -0.08251)                   (1.706, 0.622)
               0.132                   (0.9965, -0.08376)                   (1.706, 0.6207)
               0.133                   (0.9964, -0.08501)                   (1.706, 0.6194)
               0.134                   (0.9963, -0.08627)                   (1.706, 0.618)
               0.135                   (0.9962, -0.08754)                   (1.706, 0.6167)
               0.136                   (0.996, -0.08882)                   (1.706, 0.6153)
               0.137                   (0.9959, -0.09011)                   (1.706, 0.6139)
               0.138                   (0.9958, -0.0914)                   (1.706, 0.6126)
               0.139                   (0.9957, -0.09271)                   (1.706, 0.6112)
                0.14                   (0.9956, -0.09402)                   (1.706, 0.6098)
               0.141                   (0.9954, -0.09534)                   (1.706, 0.6084)
               0.142                   (0.9953, -0.09667)                   (1.706, 0.6069)
               0.143                   (0.9952, -0.09801)                   (1.706, 0.6055)
               0.144                   (0.9951, -0.09936)                   (1.706, 0.6041)
               0.145                   (0.9949, -0.1007)                   (1.706, 0.6026)
               0.146                   (0.9948, -0.1021)                   (1.706, 0.6011)
               0.147                   (0.9946, -0.1035)                   (1.706, 0.5997)
               0.148                   (0.9945, -0.1048)                   (1.706, 0.5982)
               0.149                   (0.9943, -0.1062)                   (1.706, 0.5967)
                0.15                   (0.9942, -0.1076)                   (1.706, 0.5952)
               0.151                   (0.994, -0.109)                   (1.706, 0.5936)
               0.152                   (0.9939, -0.1104)                   (1.706, 0.5921)
               0.153                   (0.9937, -0.1119)                   (1.705, 0.5906)
               0.154                   (0.9936, -0.1133)                   (1.705, 0.589)
               0.155                   (0.9934, -0.1147)                   (1.705, 0.5875)
               0.156                   (0.9932, -0.1162)                   (1.705, 0.5859)
               0.157                   (0.9931, -0.1176)                   (1.705, 0.5843)
               0.158                   (0.9929, -0.1191)                   (1.705, 0.5827)
               0.159                   (0.9927, -0.1206)                   (1.705, 0.5811)
                0.16                   (0.9925, -0.1221)                   (1.705, 0.5795)
               0.161                   (0.9923, -0.1235)                   (1.705, 0.5779)
               0.162                   (0.9922, -0.125)                   (1.705, 0.5762)
               0.163                   (0.992, -0.1266)                   (1.705, 0.5746)
               0.164                   (0.9918, -0.1281)                   (1.705, 0.5729)
               0.165                   (0.9916, -0.1296)                   (1.705, 0.5713)
               0.166                   (0.9914, -0.1311)                   (1.705, 0.5696)
               0.167                   (0.9912, -0.1327)                   (1.705, 0.5679)
               0.168                   (0.991, -0.1342)                   (1.705, 0.5662)
               0.169                   (0.9907, -0.1358)                   (1.705, 0.5645)
                0.17                   (0.9905, -0.1373)                   (1.705, 0.5628)
               0.171                   (0.9903, -0.1389)                   (1.705, 0.561)
